Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,CLTV,Income per capita
1,0,0,0,-1.2367242199587352,1,0,0,2,2,0,0,0,0,0,1,3,-0.3626603559551803,-0.9596740712020441,1,-0.9816754877591304,0.17160762814301628
0,0,0,1,-1.2367242199587352,1,0,1,0,0,0,0,0,0,0,1,2,0.19736523310080326,-0.9404697022531111,1,-1.4364617989116963,0.17160762814301628
0,0,0,1,-0.9924020376385531,1,2,1,0,0,2,0,2,2,0,1,2,1.1595456961969886,-0.6451859741727949,1,0.821408530249091,0.17160762814301628
0,0,1,1,-0.1779947632379461,1,2,1,0,0,2,2,2,2,0,1,2,1.330710787214099,0.3373492744317471,1,0.5094826030831118,0.17160762814301628
1,0,0,1,0.6771328748826912,1,2,1,0,2,2,0,2,2,0,1,0,1.2941512532104444,1.2160043388136705,1,0.7943580433403883,0.17160762814301628
0,0,1,0,-0.9109613101984924,1,0,0,0,0,2,2,0,0,0,0,1,-0.31779183695069496,-0.774164281952812,1,1.2888747571401113,0.17160762814301628
1,1,0,0,-1.2774445836787656,0,1,0,0,0,2,0,0,2,0,1,2,-0.8346107040023594,-0.9899154337997889,1,0.8729735209188058,0.17160762814301628
1,0,0,0,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,0,3,-1.4827115340671475,-0.9985242888458623,1,0.3649315636647312,0.17160762814301628
1,0,1,1,0.5956921474426305,1,2,1,0,2,0,0,2,2,0,1,2,1.1495749141959914,1.0892334297634156,1,1.1739101877781244,0.17160762814301628
1,0,1,0,-1.2774445836787656,0,1,0,0,2,0,0,0,0,0,0,2,-1.1486903370337564,-0.9940874173990399,1,-1.2555616677097463,0.17160762814301628
0,0,0,0,-0.62591876415828,1,0,0,0,0,0,0,2,2,0,1,3,-0.0020504069191315333,-0.5248385954261489,1,-1.1651116021087713,0.17160762814301628
1,0,0,1,-1.1145631287986442,1,0,1,0,0,0,0,0,0,0,1,2,0.16412929309748078,-0.8675151742344638,1,-1.6452577447382462,0.17160762814301628
1,0,0,1,0.06632741908223598,1,2,1,0,2,2,0,2,2,0,1,2,1.3822264942192488,0.559501882595035,1,-1.2335831470964254,0.17160762814301628
0,0,0,1,-0.8702409464784621,1,2,1,0,0,2,0,2,2,0,1,0,1.099721004191008,-0.5194083945509333,1,1.0766975004499737,0.17160762814301628
0,0,0,1,-1.2367242199587352,1,0,1,0,0,0,0,2,0,0,1,2,0.5280628361338618,-0.9437808003477547,1,1.002308661451041,0.17160762814301628
0,0,0,1,-0.7073594915983407,1,0,1,2,2,0,0,2,2,0,1,1,1.141265929195161,-0.3776933961001872,1,-1.2124499541990013,0.17160762814301628
0,1,1,1,-0.9924020376385531,1,2,1,0,2,0,0,0,0,0,1,1,0.5280628361338618,-0.7278309826150992,1,0.7622355901363036,0.17160762814301628
1,1,0,1,-0.5851984004382496,1,2,1,0,0,0,0,2,2,0,1,2,1.0199547481830342,-0.2337047769577859,1,-1.032395150712948,0.17160762814301628
0,0,0,1,-0.9516816739185228,1,2,1,0,0,0,0,2,2,0,0,2,0.9850570111795457,-0.6289615935090412,1,0.9896287457125866,3.2628828167552855
0,0,0,1,-1.2774445836787656,1,0,1,0,0,0,0,2,0,0,1,2,0.48485611412954227,-0.9723886878854755,1,-1.6207432409772342,-0.7668523640308886
0,0,1,1,-1.0331224013585834,1,0,1,0,0,2,0,0,0,0,1,0,0.34526516611558833,-0.7880488199630175,1,-0.7973940456935925,-0.7384071745194569
0,0,0,1,-0.8295205827584317,1,2,1,2,0,0,0,0,0,0,1,2,0.47156173812821356,-0.5980138633177725,1,1.1882807589483728,2.640499757628124
